Neighborhood,coordinates,datetime,Radius: (ft),Photo: Faceless,Photo: Shirtless,Age: (x̅),Age: (M),Race: White,Race: Black,Race: Latino,Race: Asian,Race: Mixed,Race: Middle Eastern,Race: South Asian,Race: Other,Race: N/A,Gender: Man,Gender: Cis Man,Gender Non-Binary,Gender: Trans Wmn,Gender: Queer,Gender: N/A,Position: Top,Position: Vers Top,Position: Vers,Position: Vers Bottom,Position: Bottom,Position: N/A,Relationship Stat: Single,Relationship Stat: Open Relationship,Relationship Stat: Married,Relationship Stat: Partnered,Relationship Stat: Dating,Relationship Stat: N/A,Looking for: Right Now,Looking for: Friends,Looking for: Chat,Looking for: Dates,Looking for: Relationship,Looking for: Networking,HIV Stat: Negative,HIV Stat: Negative on PrEP,HIV Stat: Positive Undetectable,HIV Stat: Positive,HIV Stat: N/A
Lenox Hill,"-73.96248220319043, 40.76720898678101",3/8/2021 20:45:00,2010,45,28,33.5,30,47,0,5,6,5,3,0,0,33,40,12,0,1,0,45,14,6,19,11,10,39,46,8,0,1,0,43,56,36,35,44,22,12,42,24,0,0,33
Lincoln Square,"-73.98349712931237, 40.77608042617172",3/11/2021 21:10:00,1519,41,34,34.3,32,50,5,10,1,1,0,1,1,29,38,16,0,0,0,43,16,11,20,12,4,36,51,3,4,1,1,39,56,50,42,42,30,16,46,22,0,0,31
Long Island City,"-73.9447682112414, 40.74841621109902",3/30/2021 21:05:00,2372,44,27,32.1,31,24,5,13,15,5,2,0,5,30,39,13,1,0,0,45,19,5,15,12,8,40,49,4,2,0,0,44,44,35,26,27,20,15,46,25,0,0,28
Lower East Side,"-73.99082419315837, 40.71833152173715",2/2/2021 20:30:00,1466,44,43,29.4,27,26,4,8,8,7,0,0,1,45,22,8,1,1,0,65,12,9,14,4,7,53,37,7,2,2,0,51,42,30,23,23,15,14,39,22,1,0,37
Manhattan Valley,"-73.96572392371597, 40.800452669257815",4/12/2021 21:00:00,1787,42,34,30.2,28,30,3,9,6,7,4,1,1,37,39,13,0,1,1,45,14,12,17,16,6,34,50,6,1,1,0,41,62,50,42,42,27,20,40,24,1,0,40
Midtown East,"-73.97447256237602, 40.75079342967771",3/1/2021 20:10:00,1523,47,26,32.9,30,40,1,10,11,3,1,0,0,33,38,10,0,0,0,47,12,12,14,7,12,42,49,2,2,0,0,46,51,37,30,37,27,23,41,26,2,0,30
Park Slope,"-73.982957859335, 40.66927086967388",2/1/2021 21:30:00,2745,32,23,33.2,32,32,3,8,5,6,2,1,0,42,21,13,3,1,1,58,8,10,13,9,8,51,34,8,6,4,0,47,51,41,38,29,19,8,30,26,0,0,43
Parkchester,"-73.86094862236988, 40.833191433421085",5/4/2021 21:20:00,3809,54,14,30.2,29,5,20,34,1,7,0,0,3,28,47,2,0,3,0,45,14,3,19,6,14,43,44,0,0,1,1,52,44,40,35,31,19,25,38,14,4,0,43
Prospect Park,"-73.95683013296755, 40.65970372723811",2/15/2021 21:00:00,2439,31,28,32.4,31,18,21,7,0,11,1,0,2,39,31,22,1,1,0,43,17,8,8,8,14,44,49,3,1,1,1,44,42,39,30,38,27,11,41,20,0,0,38
South Bronx,"-73.91765081443882, 40.816079065323045",4/19/2021 20:00:00,3008,42,25,30.3,29,3,18,34,1,8,0,0,5,30,39,9,1,2,0,46,19,1,19,6,15,39,45,1,1,1,2,49,35,40,37,29,19,22,42,23,0,1,33
Sunset Park,"-74.00742209266079, 40.64791303533381",3/26/2021 20:40:00,3306,51,11,29.8,28,12,2,31,9,5,0,0,0,40,39,7,3,1,2,43,10,5,19,8,12,45,40,1,1,0,0,57,45,39,35,33,23,15,40,14,0,0,45
Tribeca,"-74.00923329788877, 40.715538225159925",2/16/2021 20:15:00,1737,54,37,33,30,31,0,11,11,6,2,1,0,37,39,6,0,2,1,51,8,4,23,6,13,45,34,5,4,2,0,54,40,38,25,24,20,17,43,20,1,0,35
Upper East Side,"-73.95402770149525, 40.7788395855512",3/22/2021 20:45:00,1305,33,36,32.2,30,44,1,9,2,3,1,0,1,38,34,19,0,0,0,45,14,8,17,13,7,40,52,1,2,3,0,41,44,46,37,40,29,14,40,19,0,0,30
Upper West Side,"-73.97503098242109, 40.78770790410171",3/23/2021 20:45:00,1575,35,23,34.3,30,41,5,9,6,5,0,0,1,31,41,12,0,2,0,42,13,12,18,6,14,36,48,5,3,3,0,40,47,36,28,43,27,15,40,30,1,0,28
Washington Heights,"-73.94489435997193, 40.83407996815915",4/1/2021 20:45:00,1476,31,22,30.9,29,18,11,15,1,11,1,0,0,42,39,14,0,0,3,42,14,11,21,7,12,34,61,1,0,0,1,36,42,53,40,42,25,11,42,26,1,0,30
West Village,"-73.99960382444324, 40.73360554064036",2/8/2021 21:40:00,1305,49,41,31.5,32,37,1,7,5,4,0,1,0,44,32,10,0,0,1,54,10,9,15,11,5,49,43,6,1,3,0,45,36,27,23,27,18,10,32,30,0,1,36
Williamsburg,"-73.96020708300637, 40.717535096236645",2/11/2021 21:40:00,2113,49,41,30.8,29,34,2,7,0,4,0,0,1,51,27,13,0,0,0,58,13,8,16,5,7,50,44,8,2,0,0,42,50,35,29,32,18,14,24,37,0,0,38
